2026-05-21 10:13:56.369 UTC [5983] ERROR:  column "superbill_client_id" does not exist at character 300
2026-05-21 10:13:56.369 UTC [5983] STATEMENT:  select "id", "entity_type", "type", "name", "first_name", "last_name", "email", "phone", "address", "city", "zip_code", "province", "country", "vat_number", "fiscal_code", "company_nature", "sdi_code", "ipa_code", "pec_email", "source", "payment_method_id", "reliability", "brochure_sent", "notes", "superbill_client_id", "company_id", "assigned_to_user_id", "created_at", "updated_at" from "leads" where ("leads"."id" = $1 and "leads"."company_id" = $2)
2026-05-21 10:14:15.351 UTC [5989] ERROR:  column "superbill_document_id" of relation "quotes" does not exist at character 245
2026-05-21 10:14:15.351 UTC [5989] STATEMENT:  insert into "quotes" ("id", "opportunity_id", "company_id", "number", "status", "total_amount", "subject", "notes", "global_params", "discounts", "handling_data", "pdf_data", "work_order_notes", "work_order_sent_at", "work_order_confirmed_at", "superbill_document_id", "superbill_sent_at", "created_at", "updated_at") values (default, $1, $2, $3, $4, $5, $6, $7, $8, $9, default, default, default, default, default, default, default, default, default) returning "id", "opportunity_id", "company_id", "number", "status", "total_amount", "subject", "notes", "global_params", "discounts", "handling_data", "pdf_data", "work_order_notes", "work_order_sent_at", "work_order_confirmed_at", "superbill_document_id", "superbill_sent_at", "created_at", "updated_at"
2026-05-21 10:19:43.361 UTC [31] LOG:  checkpoint starting: time
2026-05-21 10:19:46.314 UTC [31] LOG:  checkpoint complete: wrote 29 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.923 s, sync=0.006 s, total=2.954 s; sync files=25, longest=0.003 s, average=0.001 s; distance=95 kB, estimate=113 kB; lsn=0/2EC2CA8, redo lsn=0/2EC2C50
2026-05-21 10:24:43.408 UTC [31] LOG:  checkpoint starting: time
2026-05-21 10:24:44.431 UTC [31] LOG:  checkpoint complete: wrote 10 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.007 s, sync=0.005 s, total=1.023 s; sync files=11, longest=0.003 s, average=0.001 s; distance=57 kB, estimate=108 kB; lsn=0/2ED1358, redo lsn=0/2ED1300
2026-05-21 10:29:43.529 UTC [31] LOG:  checkpoint starting: time
2026-05-21 10:29:43.546 UTC [31] LOG:  checkpoint complete: wrote 0 buffers (0.0%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.003 s, sync=0.002 s, total=0.017 s; sync files=1, longest=0.002 s, average=0.002 s; distance=2 kB, estimate=97 kB; lsn=0/2ED1D88, redo lsn=0/2ED1D30
